,image_name,label
0,cat.10953.jpg,0
1,cat.4956.jpg,0
5,cat.6850.jpg,0
6,cat.4806.jpg,0
8,cat.10471.jpg,0
9,cat.1354.jpg,0
10,cat.10281.jpg,0
11,cat.2855.jpg,0
12,cat.3636.jpg,0
13,cat.355.jpg,0
16,cat.4912.jpg,0
17,cat.9239.jpg,0
18,cat.2821.jpg,0
19,cat.4961.jpg,0
20,cat.10663.jpg,0
27,cat.7528.jpg,0
28,cat.1113.jpg,0
29,cat.7695.jpg,0
30,cat.658.jpg,0
31,cat.5420.jpg,0
32,cat.4964.jpg,0
33,cat.10852.jpg,0
36,cat.951.jpg,0
37,cat.10146.jpg,0
39,cat.4356.jpg,0
41,cat.7386.jpg,0
42,cat.210.jpg,0
44,cat.5893.jpg,0
47,cat.3076.jpg,0
48,cat.5437.jpg,0
49,cat.1606.jpg,0
50,cat.6589.jpg,0
52,cat.9566.jpg,0
53,cat.4067.jpg,0
54,cat.2784.jpg,0
55,cat.2909.jpg,0
57,cat.10179.jpg,0
58,cat.5913.jpg,0
60,cat.10098.jpg,0
61,cat.7919.jpg,0
64,cat.5188.jpg,0
65,cat.5786.jpg,0
66,cat.4451.jpg,0
68,cat.8580.jpg,0
72,cat.8784.jpg,0
78,cat.1041.jpg,0
79,cat.10539.jpg,0
80,cat.9883.jpg,0
88,cat.341.jpg,0
89,cat.5875.jpg,0
92,cat.3403.jpg,0
93,cat.6170.jpg,0
94,cat.2739.jpg,0
97,cat.7779.jpg,0
99,cat.7943.jpg,0
100,cat.1125.jpg,0
102,cat.994.jpg,0
105,cat.6822.jpg,0
106,cat.4943.jpg,0
108,cat.11780.jpg,0
109,cat.3585.jpg,0
114,cat.563.jpg,0
115,cat.2673.jpg,0
116,cat.6063.jpg,0
117,cat.8446.jpg,0
118,cat.12484.jpg,0
119,cat.5813.jpg,0
120,cat.2230.jpg,0
121,cat.7575.jpg,0
123,cat.9956.jpg,0
127,cat.8127.jpg,0
129,cat.2061.jpg,0
130,cat.3392.jpg,0
132,cat.5697.jpg,0
133,cat.2807.jpg,0
135,cat.8709.jpg,0
137,cat.3347.jpg,0
139,cat.8511.jpg,0
141,cat.5076.jpg,0
142,cat.11730.jpg,0
144,cat.10497.jpg,0
145,cat.10178.jpg,0
149,cat.9451.jpg,0
152,cat.6396.jpg,0
155,cat.5364.jpg,0
157,cat.10709.jpg,0
158,cat.8856.jpg,0
159,cat.6211.jpg,0
163,cat.10314.jpg,0
164,cat.12325.jpg,0
168,cat.5563.jpg,0
170,cat.9039.jpg,0
171,cat.5733.jpg,0
174,cat.7373.jpg,0
179,cat.1999.jpg,0
181,cat.7818.jpg,0
183,cat.592.jpg,0
185,cat.7770.jpg,0
187,cat.4156.jpg,0
188,cat.2905.jpg,0
190,cat.10583.jpg,0
193,cat.107.jpg,0
194,cat.593.jpg,0
199,cat.4044.jpg,0
200,cat.3028.jpg,0
203,cat.559.jpg,0
204,cat.384.jpg,0
206,cat.7793.jpg,0
207,cat.11491.jpg,0
208,cat.1231.jpg,0
211,cat.2761.jpg,0
213,cat.11087.jpg,0
214,cat.10125.jpg,0
220,cat.1190.jpg,0
222,cat.7293.jpg,0
225,cat.2344.jpg,0
227,cat.4819.jpg,0
229,cat.11290.jpg,0
230,cat.4655.jpg,0
231,cat.6366.jpg,0
232,cat.7409.jpg,0
233,cat.6069.jpg,0
236,cat.6839.jpg,0
237,cat.4432.jpg,0
238,cat.2314.jpg,0
242,cat.7051.jpg,0
244,cat.9144.jpg,0
246,cat.9031.jpg,0
249,cat.5965.jpg,0
251,cat.4202.jpg,0
253,cat.3577.jpg,0
254,cat.2186.jpg,0
256,cat.9610.jpg,0
257,cat.8706.jpg,0
259,cat.8273.jpg,0
264,cat.11618.jpg,0
265,cat.3768.jpg,0
266,cat.2040.jpg,0
274,cat.3159.jpg,0
275,cat.6240.jpg,0
276,cat.7193.jpg,0
279,cat.4791.jpg,0
280,cat.4448.jpg,0
282,cat.9689.jpg,0
284,cat.11472.jpg,0
286,cat.11894.jpg,0
287,cat.9756.jpg,0
288,cat.642.jpg,0
289,cat.5009.jpg,0
291,cat.3640.jpg,0
293,cat.1891.jpg,0
295,cat.741.jpg,0
296,cat.9974.jpg,0
298,cat.1213.jpg,0
302,cat.616.jpg,0
303,cat.3637.jpg,0
306,cat.9426.jpg,0
307,cat.9538.jpg,0
308,cat.1712.jpg,0
309,cat.4944.jpg,0
311,cat.1821.jpg,0
317,cat.3572.jpg,0
318,cat.8832.jpg,0
323,cat.5156.jpg,0
324,cat.2567.jpg,0
325,cat.8629.jpg,0
326,cat.9778.jpg,0
329,cat.10095.jpg,0
331,cat.5331.jpg,0
333,cat.827.jpg,0
334,cat.8775.jpg,0
337,cat.3539.jpg,0
341,cat.3817.jpg,0
345,cat.1133.jpg,0
356,cat.4648.jpg,0
357,cat.10943.jpg,0
358,cat.1402.jpg,0
360,cat.6161.jpg,0
361,cat.7753.jpg,0
362,cat.2605.jpg,0
363,cat.8326.jpg,0
364,cat.12133.jpg,0
366,cat.6562.jpg,0
368,cat.11929.jpg,0
372,cat.7977.jpg,0
374,cat.9090.jpg,0
376,cat.1995.jpg,0
378,cat.4270.jpg,0
379,cat.10532.jpg,0
381,cat.12222.jpg,0
382,cat.11756.jpg,0
384,cat.11193.jpg,0
388,cat.5195.jpg,0
389,cat.11636.jpg,0
390,cat.2044.jpg,0
391,cat.743.jpg,0
393,cat.500.jpg,0
396,cat.10965.jpg,0
397,cat.1887.jpg,0
399,cat.4848.jpg,0
400,cat.2895.jpg,0
401,cat.9454.jpg,0
402,cat.1849.jpg,0
403,cat.7629.jpg,0
404,cat.7245.jpg,0
406,cat.5003.jpg,0
408,cat.11129.jpg,0
